"record_type","sheet_or_field","rows","columns","data_type_or_values","description","method_or_interpretation"
"file","AlfaFold2_Colab_PPIs.xlsx","","","Excel workbook; 4 worksheets","Systematic AlphaFold2-Multimer/ColabFold protein-pair screen, Pfam domain architecture results, domain-class summary, and matrix of all tested protein pairs.","The manuscript calls this Supplementary Table 9. The workbook filename spells AlphaFold as AlfaFold."
"sheet","AlphaFold_ColabFold","61","20 populated named columns plus one empty trailing column","one tested or reported protein pair per row","Protein-pair origin, interpretation, hit-rate summary, identifiers and annotations for both proteins, and structural confidence/interface metrics.","Pairs include positive controls, within-module candidates, selected cross-module pairs, and negative/specificity controls."
"sheet","Domain_architecture","157","20","HMMER hmmscan result rows; two header rows precede the data","Pfam-A domain hits for proteins involved in predicted high-confidence interactions.","HMMER v3.3.2 hmmscan against Pfam-A v35.0. The sheet retains native full-sequence, best-domain, and domain-number-estimation statistics."
"sheet","domain_summary","5","5","one functional domain class per row","Summary of unique domain types across 25 proteins involved in predicted high-confidence interactions.","Classes include LRR, kinase, EDS1-family, metabolic, and regulatory domains."
"sheet","all_tested_PPIs","324 partner rows after two header rows","17","wide pair-list matrix","All protein pairs submitted for structural screening, organized by query protein.","Row 1 contains query labels; row 2 contains query PN40024 v4 gene IDs; subsequent cells list candidate partner gene IDs. Cross-module pairs are encoded as query:partner strings."
"column","pair category / first unlabeled column","","","character or blank","Optional category marker such as POSITIVE CONTROL.","First column of AlphaFold_ColabFold."
"column","Structure-based_interface_screening","","","character","Origin or sampling class of the protein pair.","Examples include within co-transcriptional module and selected pair (cross-module)."
"column","Interpretation","","","character","Interpretive label for structural interface compatibility.","Predictions are computational candidates and not experimental evidence of physical interaction."
"column","Meets_interface-compatibility_criteria","","","character fraction","Number of pairs passing all interface criteria divided by the number tested in the relevant set.","High-confidence criteria: ipTM >= 0.70, mean pLDDT >= 50, at least 5 interface contacts, and contact-filtered mean iPAE < 10 Å."
"column_family","protein 1 and protein 2: ENSMBL","","","character; Vitvi gene identifier","PN40024 v4 gene identifier for each protein in the tested pair.","The workbook repeats the same five annotation columns for the two proteins."
"column_family","protein 1 and protein 2: UniProt","","","character or blank","UniProt accession and optional protein name for each protein.","Annotation field."
"column_family","protein 1 and protein 2: Transcriptional_pattern","","","three genotype patterns using U, D, E","Time-resolved transcriptional pattern for Rpv12, Rpv12+Rpv1, and Rpv12+Rpv1+Rpv3.","Within each three-character pattern, positions are 0, 6, and 24 hpi; U = upregulated, D = downregulated, E = equivalent to susceptible."
"column_family","protein 1 and protein 2: Athal_homolog","","","character or blank","Closest annotated Arabidopsis thaliana homolog and description.","Assigned through sequence-homology analysis."
"column_family","protein 1 and protein 2: Athal_homology (%)","","","numeric percent or blank","Percent amino-acid sequence identity to the reported Arabidopsis homolog.","Higher values indicate greater sequence identity."
"column","ipTM","","","numeric, generally 0 to 1","Interface predicted TM-score from AlphaFold2-Multimer.","Primary model-confidence metric for the predicted protein-protein interface; criterion >= 0.70."
"column","pTM","","","numeric, generally 0 to 1","Predicted global TM-score for the full complex.","Global structural confidence metric."
"column","mean_pLDDT","","","numeric, 0 to 100","Mean predicted Local Distance Difference Test confidence across residues.","Per-residue model-confidence summary; criterion >= 50."
